name,price,county,town,address,lng_wgs84,lat_wgs84
万立城(商业类),22817,嘉定,安亭,"(嘉定安亭)安谐南路185弄, 安悦路92弄, 进明渡路212弄, 安谐南路199号, 安谐南路177号, 安谐南路171号, 安谐南路173号, 安谐南路155号, 安谐南路175号, 安谐南路197号, 安谐南路205号, 安谐南路195号, 安谐南路201号, 安驰路163号, 安驰路171号, 安驰路195号, 安驰路185号, 安驰路189号, 安驰路191号, 安驰路193号, 安驰路175号, 安驰路177号, 安驰路201号, 安驰路173号, 安驰路167号, 安驰路187号, 安驰路1",121.1707186,31.28643359
绿地东海岸时尚广场,22844,浦东,周浦,(浦东周浦)周祝公路268弄,121.6063287,31.10538399
解放西路311弄,22857,奉贤,南桥,(奉贤南桥)解放西路311弄,121.4468539,30.91488274
绿地芳满庭,22860,金山,张堰,(金山张堰)龙皓路2039弄,121.3117583,30.75130246
贝港新村西区,22879,奉贤,南桥,(奉贤南桥)贝港西区,121.4384924,30.91290112
香溢澜庭,22895,嘉定,嘉定新城,(嘉定嘉定新城)洪德路1139号,121.2403273,31.35295052
万科早城(一期),22899,闵行,浦江,(闵行浦江)北江榉路588弄,121.481092,31.10654723
南奉公路40支弄,22927,奉贤,南桥,(奉贤南桥)南奉公路40支弄,121.4553446,30.9135032
立新中路82弄,22939,奉贤,南桥,(奉贤南桥)立新中路82弄,121.455705,30.91474447
绿色家园泰馨苑,22955,奉贤,奉贤金汇,(奉贤奉贤金汇)泰西路158弄,121.5527537,30.98198699
书院一号公寓,22960,浦东,书院镇,(浦东书院镇)船山街159弄,121.8660873,30.98063267
朝农新村,22962,浦东,祝桥,(浦东祝桥)朝农新村,121.8329756,31.09790621
旭辉朗悦庭,22973,青浦,练塘,(青浦练塘)章练塘路880弄,121.0467785,31.00374324
临港海滨国际花园,22975,浦东,临港新城,(浦东临港新城)港辉路308弄,121.8561886,30.86999522
汇豪新天地,22976,嘉定,嘉定新城,(嘉定嘉定新城)白银路327号,121.2560771,31.35468713
新环路66弄,22983,崇明,横沙岛,(崇明横沙岛)新环路66弄,121.8371194,31.34182576
百富苑,22988,奉贤,南桥,(奉贤南桥)化工路62弄,121.4484208,30.91992258
云松翠庭,23003,浦东,泥城镇,(浦东泥城镇)彩云路357弄,121.8073858,30.90081267
城南东路154弄,23017,浦东,惠南,(浦东惠南)城南东路154弄,121.7452543,31.04985132
东泉新村,23044,金山,石化,"(金山石化)龙胜路111号,东泉街28号",121.3418312,30.72593392
富兴华庭,23074,嘉定,外冈,(嘉定外冈)外青松公路85弄,121.1715159,31.36258431
连城一号,23076,奉贤,西渡,"(奉贤西渡)沪杭公路228弄, 沪杭公路222弄, 沪杭公路234号, 沪杭公路236号, 沪杭公路246号, 沪杭公路248号",121.4273358,30.99191733
向阳东路27号,23077,浦东,惠南,(浦东惠南)向阳东路27号,121.7511059,31.04782283
白鹤镇北小区,23077,青浦,白鹤,(青浦白鹤)外青松公路2770弄,121.1364125,31.26129523
新市南路1215弄,23081,虹口,江湾镇,(虹口江湾镇)新市南路1215弄,121.4773127,31.30169223
绿地北郊广场(商业类),23094,宝山,顾村,(宝山顾村)沪太路5355弄,121.3740263,31.35917356
新建中路后门11号,23100,奉贤,南桥,(奉贤南桥)新建中路后门11号,121.4611186,30.92194998
解放街77号,23114,嘉定,南翔,(嘉定南翔)解放街77号,121.3048542,31.29080194
临港家园,23130,浦东,临港新城,(浦东临港新城)古棕路555弄,121.9117732,30.88199807
立新中路11支弄,23158,奉贤,南桥,(奉贤南桥)立新中路11支弄,121.455745,30.9132882
淀滨宝岛别墅,23161,青浦,金泽,(青浦金泽)宝银路175号,120.9195063,31.11504338
金泽上塘街,23161,青浦,金泽,"(青浦金泽)金泽上塘街285弄, 金泽上塘街271弄, 金泽上塘街237弄",120.9091802,31.0382228
绿地卡米公社,23174,嘉定,嘉定新城,(嘉定嘉定新城)云谷路279弄,121.2524501,31.32986869
晨星小区,23177,松江,新桥,(松江新桥)茜蒲路651弄,121.3059749,31.04785205
贝港一区,23186,奉贤,南桥,(奉贤南桥)贝港新村北区126-229号,121.4394615,30.91733026
南中路181弄,23188,奉贤,南桥,(奉贤南桥)南中路181弄,121.4534781,30.91444595
天地健康城,23193,青浦,朱家角,(青浦朱家角)康业路888弄,121.0653488,31.08936469
长江西路1818号,23197,宝山,通河,(宝山通河)长江西路1818号,121.4417208,31.33465613
锦洋华园,23242,嘉定,华亭,(嘉定华亭)嘉行公路3217弄,121.23482,31.46588728
万安街433弄,23312,金山,朱泾,(金山朱泾)万安街433弄,121.1726227,30.89932637
陈东新苑,23330,宝山,罗泾,(宝山罗泾)陈东路79弄,121.3400783,31.48165226
罗太路449弄,23346,宝山,罗店,(宝山罗店)罗太路449弄,121.3347168,31.41420303
安亭雅苑,23392,嘉定,安亭,(嘉定安亭)新源路585弄1-11号,121.1501937,31.2982392
花园二村,23403,嘉定,安亭,(嘉定安亭)宝安公路4385弄,121.2170682,31.31861534
立新中路50号,23426,奉贤,南桥,(奉贤南桥)立新中路50号,121.4555596,30.91676891
新建西路70弄,23428,奉贤,南桥,(奉贤南桥)新建西路70弄,121.4516463,30.91901392
宝通家园,23483,宝山,罗泾,(宝山罗泾)潘新路118弄,121.3281101,31.49001944
奉苑新村,23528,奉贤,南桥,(奉贤南桥)奉苑新村,121.4613756,30.92183442
新泰馨苑,23529,奉贤,南桥,(奉贤南桥)新建西路139弄,121.447457,30.91778114
明南佳苑,23550,崇明,崇明新城,(崇明崇明新城)鼓浪屿路1000弄,121.416877,31.6517568
佳源梦想广场,23556,奉贤,海湾,(奉贤海湾)金海公路99弄,121.5085318,30.8524119
新建西路49弄,23566,奉贤,南桥,(奉贤南桥)新建西路49弄,121.4490933,30.91806893
新高苑(四期),23579,浦东,高行,(浦东高行)高宝路300弄,121.613021,31.29256067
北青公路9322弄,23597,青浦,香花桥,(青浦香花桥)北青公路9322弄,121.1284957,31.18841709
外冈佳苑,23602,嘉定,外冈,"(嘉定外冈)中泉路129弄,中泉路128弄",121.1507928,31.3666962
化工新村,23609,奉贤,南桥,(奉贤南桥)化工新村,121.4485123,30.91935327
辰凯花苑,23635,金山,石化,(金山石化)辰凯花苑,121.3355201,30.72689976
石太路86弄,23636,宝山,月浦,(宝山月浦)石太路86弄,121.3955491,31.4564599
新月桃苑,23637,宝山,月浦,(宝山月浦)塔源路258弄1-31号,121.3945749,31.45080576
九城家天下,23641,松江,新桥,(松江新桥)新镇街99弄,121.3018754,31.05492173
绿地风清苑,23644,奉贤,奉城,(奉贤奉城)兰博路1189弄,121.6595512,30.91370421
立新新村(奉贤),23648,奉贤,南桥,(奉贤南桥)立新新村,121.4534947,30.91899375
迷你公馆,23684,普陀,真如,"(普陀真如)真北路2500号,桃浦路366号",121.3889566,31.26233353
祥东小区(松江),23687,松江,车墩,(松江车墩)车峰路199弄,121.3159473,31.01262114
新扬雅苑,23694,普陀,桃浦,(普陀桃浦)真南路3407弄,121.3409557,31.2862382
新建西路88弄,23769,奉贤,南桥,(奉贤南桥)新建西路88弄,121.4485727,30.91833499
南大街26号,23786,普陀,真如,(普陀真如)南大街26号,121.3978634,31.24965987
建国中路26号,23809,黄浦,淮海中路,(黄浦淮海中路)建国中路26号,121.4633654,31.21103924
立新南路20号,23810,奉贤,南桥,(奉贤南桥)立新南路20号,121.4555755,30.91515187
晨星东区,23823,松江,新桥,(松江新桥)新飞路1751弄,121.3135823,31.04720754
东方庭院(公寓),23846,青浦,朱家角,"(青浦朱家角)复兴路88弄, 复兴路88弄3支弄",121.03307,31.10601266
北青公路9197弄,23863,青浦,香花桥,(青浦香花桥)北青公路9197弄,121.1737691,31.20222112
招商海廷,23869,奉贤,海湾,(奉贤海湾)人民塘路1019弄,121.5113724,30.83116314
宝悦家苑,23923,宝山,罗泾,(宝山罗泾)罗宁路3030弄,121.3211847,31.48717591
崧雅路77弄,23923,青浦,赵巷,(青浦赵巷)崧雅路77弄,121.1483833,31.16607852
中山东路282号,23924,松江,松江老城,(松江松江老城)中山东路282号,121.2385615,31.00929265
芦潮港农场西区新村,23928,浦东,临港新城,(浦东临港新城)芦潮港农场,121.7831287,30.85619455
盛桥一村,23939,宝山,月浦,(宝山月浦)盛桥一村,121.4001312,31.45204776
宝华北岸郡庭(别墅),23941,宝山,月浦,(宝山月浦)塔源路302弄,121.3915895,31.45294651
通汇新村,23945,浦东,新场,(浦东新场)通汇新村,121.6493421,31.02789771
光明捷座,23961,上海周边,昆山,(上海周边昆山)商祥路708号,121.1094464,31.29752714
MAX未来,23971,嘉定,江桥,(嘉定江桥)嘉涌路99弄,121.3310636,31.27144683
新黄路58号,24015,嘉定,安亭,(嘉定安亭)新黄路58号,121.2098254,31.26785557
新民旺苑(一期),24020,奉贤,南桥,(奉贤南桥)运河北路1098弄,121.4428288,30.92443034
亭园,24062,松江,九亭,(松江九亭)九新公路10弄8-12号,121.3109175,31.13728933
轩和苑,24085,金山,亭林,(金山亭林)兴工路255弄,121.3168223,30.88720936
九华苑,24087,奉贤,南桥,(奉贤南桥)国顺路318弄,121.4526427,30.93515998
北虹新村,24092,奉贤,西渡,(奉贤西渡)北虹新村,121.4341293,30.96203715
海欣别墅,24096,松江,新桥,(松江新桥)长兴路99弄,121.2735625,31.08395148
绿苑新城,24122,嘉定,安亭,(嘉定安亭)玉麦路300弄,121.2098423,31.27939317
世茂纳米魔幻城,24134,松江,佘山,"(松江佘山)辰花路5088弄, 辰花路5000弄",121.158323,31.06516705
南圩新村,24168,金山,朱泾,(金山朱泾)南圩新村,121.1563258,30.90192417
金都安亭家园,24172,上海周边,昆山,(上海周边昆山)三星路88号,121.1450073,31.29628293
金海岸花园,24198,金山,山阳,(金山山阳)龙胜东路789弄,121.3524674,30.73050075
贝港二区,24199,奉贤,南桥,(奉贤南桥)贝港新村北区19-123号,121.4426475,30.91082674
玉兰四村,24232,嘉定,安亭,(嘉定安亭)阜康西路9弄,121.1597858,31.29973404
河畔路201弄,24233,青浦,朱家角,(青浦朱家角)河畔路201弄,121.0603767,31.11403133
大众湖滨花园,24255,上海周边,昆山,(上海周边昆山)嘉善嘉善县善江公路东侧，世纪大道北侧,120.9441422,31.19810384
新建西路143号,24256,奉贤,南桥,(奉贤南桥)新建西路143号,121.4464317,30.91787346
祥峰家园,24256,松江,车墩,(松江车墩)车峰路158弄,121.3144777,31.01314921
上海电子商城,24305,嘉定,江桥,"(嘉定江桥)张掖路256号,曹安路2607号,张掖路355号,临夏路208号",121.3304247,31.26174613
