gml_id,Name_town,layer,code_town,grade,code_front6,Name_county,code_county,houseprice,tot_pop,urban_rat,for_res,male,female,under_14,between_15_64,beyond_65,minor,birth_rate,death_rate,area,pop_dens
layer_township_pg.130,高行镇,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,53926.11475,137600,1,74100,73100,64500,15331,113300,8990,1724,0.0112,0.00642,22.85,6023
layer_township_pg.141,高东镇,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,37806,110600,1,75600,61200,49353,10685,94100,5743,1294,0.00954,0.00205,36.24,3051
layer_township_pg.121,张江镇,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,58805.62319,165300,0.9254,94700,88200,77100,16135,139100,10102,1882,0.00087,0.00024,45.02,3672
layer_township_pg.138,三林镇,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,58698.49495,360500,1,187300,192500,168000,34608,301100,24792,3481,0.00075,0.00025,34.19,10544
layer_township_pg.140,惠南镇,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,30405.11875,,,,,,,,,,,,,
layer_township_pg.145,周浦镇,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,41710.91089,147300,0.8133,57000,75500,71800,14491,119700,13178,940,0.00778,0.00238,43.23,3408
layer_township_pg.113,新场镇,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,31611.30769,,,,,,,,,,,,,
layer_township_pg.125,大团镇,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,19888.18182,,,,,,,,,,,,,
layer_township_pg.122,康桥镇,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,49934.71287,174700,1,90000,90700,84000,15756,148200,10752,1901,0.00115,0.00065,41.25,4234
layer_township_pg.142,航头镇,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,34920.40909,,,,,,,,,,,,,
layer_township_pg.147,祝桥镇,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,31613.44231,,,,,,,,,,,,,
layer_township_pg.131,泥城镇,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,21218.32353,,,,,,,,,,,,,
layer_township_pg.124,宣桥镇,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,28323.4,,,,,,,,,,,,,
layer_township_pg.112,书院镇,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,19524.8,,,,,,,,,,,,,
layer_township_pg.132,万祥镇,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,22505.57143,,,,,,,,,,,,,
layer_township_pg.143,老港镇,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,17675.33333,,,,,,,,,,,,,
layer_township_pg.135,南汇新城镇,乡镇,3.10E+11,4,310115,浦东新区,3.10E+11,23111.6087,,,,,,,,,,,,,
