gml_id,Name_town,layer,code_town,grade,code_front6,Name_county,code_county,price
layer_township_pg.196,白鹤镇,乡镇,310118110000,4,310118,青浦区,310118000000,18603.722222222223
layer_township_pg.197,练塘镇,乡镇,310118103000,4,310118,青浦区,310118000000,19149.5
layer_township_pg.198,朱家角镇,乡镇,310118102000,4,310118,青浦区,310118000000,28764.70588235294
layer_township_pg.199,华新镇,乡镇,310118107000,4,310118,青浦区,310118000000,33341.15789473684
layer_township_pg.200,赵巷镇,乡镇,310118105000,4,310118,青浦区,310118000000,38096.92452830189
layer_township_pg.201,重固镇,乡镇,310118109000,4,310118,青浦区,310118000000,29939.85714285714
layer_township_pg.202,宝山路街道,乡镇,310106017000,4,310106,静安区,310106000000,67409.53260869565
layer_township_pg.203,江宁路街道,乡镇,310106006000,4,310106,静安区,310106000000,88640.53333333334
layer_township_pg.204,曹家渡街道,乡镇,310106014000,4,310106,静安区,310106000000,87379.07692307692
layer_township_pg.205,彭浦镇,乡镇,310106101000,4,310106,静安区,310106000000,60309.07594936709
layer_township_pg.206,静安寺街道,乡镇,310106013000,4,310106,静安区,310106000000,91754.21686746988
layer_township_pg.207,临汾路街道,乡镇,310106021000,4,310106,静安区,310106000000,51194.32786885246
layer_township_pg.208,彭浦新村街道,乡镇,310106020000,4,310106,静安区,310106000000,51287.01219512195
layer_township_pg.209,石门二路街道,乡镇,310106011000,4,310106,静安区,310106000000,95236.97297297297
layer_township_pg.210,北站街道,乡镇,310106016000,4,310106,静安区,310106000000,74481.0
layer_township_pg.211,芷江西路街道,乡镇,310106022000,4,310106,静安区,310106000000,64626.043956043955
layer_township_pg.212,大宁路街道,乡镇,310106019000,4,310106,静安区,310106000000,73534.61111111111
layer_township_pg.213,南京西路街道,乡镇,310106012000,4,310106,静安区,310106000000,102023.38095238095
layer_township_pg.214,天目西路街道,乡镇,310106015000,4,310106,静安区,310106000000,67328.38235294117
layer_township_pg.215,共和新路街道,乡镇,310106018000,4,310106,静安区,310106000000,63514.43636363636
layer_township_pg.216,豫园街道,乡镇,310101018000,4,310101,黄浦区,310101000000,93868.23529411765
layer_township_pg.217,打浦桥街道,乡镇,310101021000,4,310101,黄浦区,310101000000,87290.11494252873
layer_township_pg.218,南京东路街道,乡镇,310101002000,4,310101,黄浦区,310101000000,84124.29090909091
layer_township_pg.219,瑞金二路街道,乡镇,310101023000,4,310101,黄浦区,310101000000,95176.32258064517
layer_township_pg.220,淮海中路街道,乡镇,310101022000,4,310101,黄浦区,310101000000,105596.28571428571
layer_township_pg.221,老西门街道,乡镇,310101019000,4,310101,黄浦区,310101000000,86039.84126984127
layer_township_pg.222,外滩街道,乡镇,310101013000,4,310101,黄浦区,310101000000,87609.72222222222
layer_township_pg.223,五里桥街道,乡镇,310101020000,4,310101,黄浦区,310101000000,81392.47619047618
layer_township_pg.224,半淞园路街道,乡镇,310101015000,4,310101,黄浦区,310101000000,86841.69523809524
layer_township_pg.225,小东门街道,乡镇,310101017000,4,310101,黄浦区,310101000000,91726.36363636363
layer_township_pg.19309,惠萍镇,乡镇,320681102000,4,320681,启东市,320681000000,
layer_township_pg.19311,寅阳镇,乡镇,320681103000,4,320681,启东市,320681000000,
layer_township_pg.19316,启隆乡,乡镇,320681200000,4,320681,启东市,320681000000,
layer_township_pg.19387,海门市经济技术开发区,乡镇,320684400000,4,320684,海门市,320684000000,
layer_township_pg.19390,三厂工业园区,乡镇,320684418000,4,320684,海门市,320684000000,
