gml_id,Name_town,layer,code_town,grade,code_front6,Name_county,code_county
layer_township_pg.20415,浏河镇,乡镇,320585102000,4,320585,太仓市,320585000000
layer_township_pg.20416,浮桥镇,乡镇,320585103000,4,320585,太仓市,320585000000
layer_township_pg.20468,周庄镇,乡镇,320583107000,4,320583,昆山市,320583000000
layer_township_pg.20469,淀山湖镇,乡镇,320583105000,4,320583,昆山市,320583000000
layer_township_pg.20474,千灯镇,乡镇,320583108000,4,320583,昆山市,320583000000
layer_township_pg.20475,花桥镇,乡镇,320583104000,4,320583,昆山市,320583000000
layer_township_pg.20476,开发区,乡镇,320583400000,4,320583,昆山市,320583000000
layer_township_pg.27561,魏塘街道,乡镇,330421001000,4,330421,嘉善县,330421000000
layer_township_pg.27563,西塘镇,乡镇,330421103000,4,330421,嘉善县,330421000000
layer_township_pg.27565,惠民街道,乡镇,330421003000,4,330421,嘉善县,330421000000
layer_township_pg.27567,姚庄镇,乡镇,330421111000,4,330421,嘉善县,330421000000
layer_township_pg.27571,新仓镇,乡镇,330482103000,4,330482,平湖市,330482000000
layer_township_pg.27574,广陈镇,乡镇,330482106000,4,330482,平湖市,330482000000
layer_township_pg.27575,新埭镇,乡镇,330482102000,4,330482,平湖市,330482000000
layer_township_pg.27577,独山港镇,乡镇,330482108000,4,330482,平湖市,330482000000
